电缸2行程%,臂2角度deg,A-1角度deg_锚点到公共点,A-2角度deg_锚点到公共点,A1_A2夹角差deg,rate_臂2角度deg,rate_A-1角度deg_锚点到公共点,rate_A-2角度deg_锚点到公共点,rate_A1_A2夹角差,rate_abs_sum_A1A2,rate_rss_A1A2
0,180.0,-84.825,-149.417,64.592,-1.8000000000000114,1.5020000000000095,-0.4989999999999952,2.0010000000000048,2.0010000000000048,1.5827207586937198
1,178.2,-83.323,-149.916,66.593,-1.7999999999999972,1.5075000000000003,-0.48349999999999227,1.9909999999999926,1.9909999999999926,1.583138812612461
2,176.4,-81.81,-150.384,68.57399999999998,-1.7999999999999972,1.5179999999999936,-0.45400000000000773,1.9720000000000013,1.9720000000000013,1.5844368084590774
3,174.6,-80.287,-150.824,70.537,-1.7999999999999972,1.5275000000000034,-0.4270000000000067,1.9545000000000101,1.9545000000000101,1.5860596615512343
4,172.8,-78.755,-151.238,72.483,-1.7999999999999972,1.5365000000000038,-0.4024999999999892,1.938999999999993,1.938999999999993,1.5883445784841534
5,171.0,-77.214,-151.629,74.41499999999999,-1.8000000000000114,1.5449999999999946,-0.3795000000000073,1.9245000000000019,1.9245000000000019,1.5909259096513542
6,169.2,-75.665,-151.997,76.33200000000001,-1.7999999999999972,1.5519999999999996,-0.3569999999999993,1.908999999999999,1.908999999999999,1.5925303764763792
7,167.4,-74.11,-152.343,78.23299999999999,-1.7999999999999972,1.5585000000000022,-0.3364999999999867,1.894999999999989,1.894999999999989,1.5944135285427046
8,165.6,-72.548,-152.67,80.12199999999999,-1.7999999999999972,1.5649999999999977,-0.31750000000000966,1.8825000000000074,1.8825000000000074,1.5968817269917015
9,163.8,-70.98,-152.978,81.998,-1.7999999999999972,1.5700000000000003,-0.2985000000000042,1.8685000000000045,1.8685000000000045,1.59812460402811
10,162.0,-69.408,-153.267,83.859,-1.8000000000000114,1.5750000000000028,-0.2809999999999917,1.8559999999999945,1.8559999999999945,1.5998706197689874
11,160.2,-67.83,-153.54,85.71,-1.7999999999999972,1.579500000000003,-0.2639999999999958,1.8434999999999988,1.8434999999999988,1.6014107062212388
12,158.4,-66.249,-153.795,87.54599999999999,-1.7999999999999972,1.5829999999999984,-0.24750000000000227,1.8305000000000007,1.8305000000000007,1.602231334732908
13,156.6,-64.664,-154.035,89.371,-1.7999999999999972,1.5869999999999962,-0.23199999999999932,1.8189999999999955,1.8189999999999955,1.603868136724459
14,154.8,-63.075,-154.259,91.18399999999998,-1.7999999999999972,1.5899999999999999,-0.21699999999999875,1.806999999999995,1.8069999999999986,1.6047395427295978
15,153.0,-61.484,-154.469,92.98499999999999,-1.8000000000000114,1.5925000000000011,-0.20250000000000057,1.7950000000000017,1.7950000000000017,1.60532317618603
16,151.2,-59.89,-154.664,94.77399999999999,-1.7999999999999972,1.5945,-0.1875,1.7820000000000036,1.782,1.6054863749032566
17,149.4,-58.295,-154.844,96.54899999999999,-1.7999999999999972,1.596499999999999,-0.17300000000000182,1.7695000000000007,1.7695000000000007,1.6058459608567681
18,147.6,-56.697,-155.01,98.31299999999999,-1.7999999999999972,1.5980000000000025,-0.1595000000000084,1.7575000000000145,1.757500000000011,1.6059403008829471
19,145.8,-55.099,-155.163,100.06400000000002,-1.7999999999999972,1.5990000000000002,-0.1454999999999984,1.7445000000000022,1.7444999999999986,1.6056061939342412
20,144.0,-53.499,-155.301,101.80199999999999,-1.8000000000000114,1.5999999999999979,-0.1314999999999884,1.7314999999999827,1.7314999999999863,1.605394733391134
