电缸2行程%,臂2角度deg,A-1角度deg_锚点到公共点,A-2角度deg_锚点到公共点,rate_臂2角度deg,rate_A-1角度deg_锚点到公共点,rate_A-2角度deg_锚点到公共点,acc_臂2角度deg,acc_A-1角度deg_锚点到公共点,acc_A-2角度deg_锚点到公共点,rate_rss_A1A2,d_rate_rss_A1A2,acc_rss_A1A2,acc_abs_sum_A1A2
0,180.0,-84.825,-149.417,-1.8000000000000114,1.5020000000000095,-0.4989999999999952,1.4210854715202004e-14,0.0054999999999907345,0.015500000000002956,1.5827207586937198,0.00041805391874127906,0.016446884203398213,0.02099999999999369
1,178.2,-83.323,-149.916,-1.7999999999999972,1.5075000000000003,-0.48349999999999227,7.105427357601002e-15,0.007999999999992013,0.022499999999993747,1.583138812612461,0.0008580248826788317,0.02387990787251054,0.03049999999998576
2,176.4,-81.81,-150.384,-1.7999999999999972,1.5179999999999936,-0.45400000000000773,0.0,0.010000000000001563,0.02824999999999278,1.5844368084590774,0.0014604244693866564,0.029967690935399468,0.038249999999994344
3,174.6,-80.287,-150.824,-1.7999999999999972,1.5275000000000034,-0.4270000000000067,0.0,0.009250000000005087,0.025750000000009265,1.5860596615512343,0.0019538850125380147,0.02736101240817984,0.03500000000001435
4,172.8,-78.755,-151.238,-1.7999999999999972,1.5365000000000038,-0.4024999999999892,-7.105427357601002e-15,0.008749999999995595,0.023749999999999716,1.5883445784841534,0.0024331240500599094,0.025310570914143942,0.03249999999999531
5,171.0,-77.214,-151.629,-1.8000000000000114,1.5449999999999946,-0.3795000000000073,0.0,0.007749999999997925,0.02274999999999494,1.5909259096513542,0.0020928989961128686,0.024033830323103675,0.030499999999992866
6,169.2,-75.665,-151.997,-1.7999999999999972,1.5519999999999996,-0.3569999999999993,7.105427357601002e-15,0.0067500000000038085,0.02150000000001029,1.5925303764763792,0.001743809445675204,0.022534695471660888,0.028250000000014097
7,167.4,-74.11,-152.343,-1.7999999999999972,1.5585000000000022,-0.3364999999999867,0.0,0.006499999999999062,0.019749999999994827,1.5944135285427046,0.002175675257661158,0.02079212591342654,0.02624999999999389
8,165.6,-72.548,-152.67,-1.7999999999999972,1.5649999999999977,-0.31750000000000966,0.0,0.005749999999999034,0.018999999999991246,1.5968817269917015,0.0018555377427027508,0.019851007531096657,0.02474999999999028
9,163.8,-70.98,-152.978,-1.7999999999999972,1.5700000000000003,-0.2985000000000042,-7.105427357601002e-15,0.005000000000002558,0.01825000000000898,1.59812460402811,0.0014944463886429338,0.0189225394701756,0.02325000000001154
10,162.0,-69.408,-153.267,-1.8000000000000114,1.5750000000000028,-0.2809999999999917,0.0,0.004750000000001364,0.017250000000004206,1.5998706197689874,0.001643051096564374,0.017892037335087305,0.02200000000000557
11,160.2,-67.83,-153.54,-1.7999999999999972,1.579500000000003,-0.2639999999999958,7.105427357601002e-15,0.003999999999997783,0.016749999999994714,1.6014107062212388,0.0011803574819603257,0.017220990099288867,0.020749999999992497
12,158.4,-66.249,-153.795,-1.7999999999999972,1.5829999999999984,-0.24750000000000227,0.0,0.0037499999999965894,0.015999999999998238,1.602231334732908,0.0012287152516100575,0.016433578429542302,0.019749999999994827
13,156.6,-64.664,-154.035,-1.7999999999999972,1.5869999999999962,-0.23199999999999932,0.0,0.0035000000000007248,0.015250000000001762,1.603868136724459,0.0012541039983449132,0.015646485228320732,0.018750000000002487
14,154.8,-63.075,-154.259,-1.7999999999999972,1.5899999999999999,-0.21699999999999875,-7.105427357601002e-15,0.0027500000000024727,0.014749999999999375,1.6047395427295978,0.000727519730785553,0.015004166088123497,0.017500000000001847
15,153.0,-61.484,-154.469,-1.8000000000000114,1.5925000000000011,-0.20250000000000057,0.0,0.0022500000000000853,0.014749999999999375,1.60532317618603,0.0003734160868293923,0.014920623311376169,0.01699999999999946
16,151.2,-59.89,-154.664,-1.7999999999999972,1.5945,-0.1875,7.105427357601002e-15,0.0019999999999988916,0.014749999999999375,1.6054863749032566,0.0002613923353690373,0.014884975646603427,0.016749999999998266
17,149.4,-58.295,-154.844,-1.7999999999999972,1.596499999999999,-0.17300000000000182,0.0,0.0017500000000012506,0.013999999999995794,1.6058459608567681,0.00022696298984525853,0.014108951059518442,0.015749999999997044
18,147.6,-56.697,-155.01,-1.7999999999999972,1.5980000000000025,-0.1595000000000084,0.0,0.0012500000000006395,0.013750000000001705,1.6059403008829471,-0.00011988346126345917,0.013806701271485831,0.015000000000002345
19,145.8,-55.099,-155.163,-1.7999999999999972,1.5990000000000002,-0.1454999999999984,-7.105427357601002e-15,0.0009999999999976694,0.014000000000010004,1.6056061939342412,-0.0002727837459065574,0.014035668847628012,0.015000000000007674
20,144.0,-53.499,-155.301,-1.8000000000000114,1.5999999999999979,-0.1314999999999884,0.0,0.0005000000000006111,0.013999999999995794,1.605394733391134,-0.0006487711045708444,0.014008925726117718,0.014499999999996405
21,142.2,-51.899,-155.426,-1.7999999999999972,1.6000000000000014,-0.11750000000000682,7.105427357601002e-15,0.0002500000000011937,0.013999999999988688,1.6043086517250995,-0.0007758462211500117,0.014002231964929158,0.014249999999989882
22,140.4,-50.299,-155.536,-1.7999999999999972,1.6005000000000003,-0.10350000000001103,0.0,0.0,0.014000000000002899,1.603843040948834,-0.0009037018378309503,0.014000000000002899,0.014000000000002899
23,138.6,-48.698,-155.633,-1.7999999999999972,1.6000000000000014,-0.08950000000000102,0.0,-0.0007500000000000284,0.014250000000011198,1.6025012480494376,-0.0015425477371269203,0.01426972319284152,0.015000000000011227
24,136.8,-47.099,-155.715,-1.7999999999999972,1.5990000000000002,-0.07499999999998863,-7.105427357601002e-15,-0.0007500000000018048,0.014499999999998181,1.6007579454745802,-0.0014283781475499246,0.01451938359572988,0.015249999999999986
25,135.0,-45.5,-155.783,-1.8000000000000114,1.5984999999999978,-0.06050000000000466,0.0,-0.0009999999999994458,0.01474999999999227,1.5996444917543378,-0.001554954257624419,0.014783859441964768,0.015749999999991715
26,133.2,-43.902,-155.836,-1.7999999999999972,1.5970000000000013,-0.04550000000000409,7.105427357601002e-15,-0.0019999999999988916,0.015500000000002956,1.5976480369593313,-0.002435811956952305,0.01562849960809057,0.017500000000001847
27,131.4,-42.306,-155.874,-1.7999999999999972,1.5945,-0.02949999999999875,-3.552713678800501e-15,-0.002500000000001279,0.015999999999998238,1.5947728678404332,-0.002795399333344384,0.016194134740700104,0.018499999999999517
28,129.6,-40.713,-155.895,-1.8000000000000043,1.5919999999999987,-0.013500000000007617,0.0,-0.0022500000000000853,0.016000000000005343,1.5920572382926426,-0.0023854512164215302,0.016157428632061828,0.01825000000000543
29,127.8,-39.122,-155.901,-1.7999999999999972,1.5899999999999999,0.002500000000011937,3.552713678800501e-15,-0.0024999999999995026,0.017000000000003013,1.59000196540759,-0.002462419954344708,0.01718284027744249,0.019500000000002515
30,126.0,-37.533,-155.89,-1.7999999999999972,1.5869999999999997,0.02049999999999841,0.0,-0.003750000000000142,0.018249999999987665,1.5871323983839531,-0.003510734816937422,0.018631290883874656,0.021999999999987807
31,124.2,-35.948,-155.86,-1.7999999999999972,1.5824999999999996,0.03899999999998727,-3.552713678800501e-15,-0.004249999999998977,0.01850000000000307,1.5829804957737152,-0.0037927348365314195,0.01898189927273098,0.022750000000002046
32,122.4,-34.368,-155.812,-1.8000000000000043,1.5785000000000018,0.05750000000000455,-3.552713678800501e-15,-0.004249999999998977,0.019500000000007844,1.5795469287108903,-0.0035245125912158892,0.019957767911274477,0.02375000000000682
