x,y,z
3600,-2000,0
4550,-1950,0
6300,-1280,0
6300,1280,0
4550,1950,0
3600,2000,0
3600,-2000,0
3600,-2000,200
4607.96,-1948.16,200
6300,-1300.3,200
6300,1300.3,200
4607.96,1948.16,200
3600,2000,200
3600,-2000,200
3600,-2000,400
4660.4,-1942.72,400
6300,-1320.02,400
6300,1320.02,400
4660.4,1942.72,400
3600,2000,400
3600,-2000,400
3600,-2000,600
4702.31,-1933.99,600
6300,-1338.58,600
6300,1338.58,600
4702.31,1933.99,600
3600,2000,600
3600,-2000,600
3600,-2000,800
4729.7,-1922.41,800
6300,-1355.46,800
6300,1355.46,800
4729.7,1922.41,800
3600,2000,800
3600,-2000,800
3600,-2000,1000
4739.96,-1908.59,1000
6300,-1370.15,1000
6300,1370.15,1000
4739.96,1908.59,1000
3600,2000,1000
3600,-2000,1000
3600,-2000,1200
4732.11,-1893.27,1200
6300,-1382.25,1200
6300,1382.25,1200
4732.11,1893.27,1200
3600,2000,1200
3600,-2000,1200
3600,-2000,1400
4706.9,-1877.26,1400
6300,-1391.4,1400
6300,1391.4,1400
4706.9,1877.26,1400
3600,2000,1400
3600,-2000,1400
3600,-2000,1600
4666.73,-1861.38,1600
6300,-1397.34,1600
6300,1397.34,1600
4666.73,1861.38,1600
3600,2000,1600
3600,-2000,1600
3600,-2000,1800
4615.43,-1846.49,1800
6300,-1399.9,1800
6300,1399.9,1800
4615.43,1846.49,1800
3600,2000,1800
3600,-2000,1800
3600,-2000,2000
4557.9,-1833.36,2000
6300,-1399,2000
6300,1399,2000
4557.9,1833.36,2000
3600,2000,2000
3600,-2000,2000
3600,-2000,2200
4499.61,-1822.69,2200
6300,-1394.67,2200
6300,1394.67,2200
4499.61,1822.69,2200
3600,2000,2200
3600,-2000,2200
3600,-2000,2400
4446.13,-1815.03,2400
6300,-1387.03,2400
6300,1387.03,2400
4446.13,1815.03,2400
3600,2000,2400
3600,-2000,2400
3600,-2000,2600
4402.55,-1810.8,2600
6300,-1376.31,2600
6300,1376.31,2600
4402.55,1810.8,2600
3600,2000,2600
3600,-2000,2600
3600,-2000,2800
4373.02,-1810.22,2800
6300,-1362.81,2800
6300,1362.81,2800
4373.02,1810.22,2800
3600,2000,2800
3600,-2000,2800
3600,-2000,3000
4360.37,-1813.3,3000
6300,-1346.92,3000
6300,1346.92,3000
4360.37,1813.3,3000
3600,2000,3000
3600,-2000,3000
3600,-2000,3200
4365.79,-1819.9,3200
6300,-1329.11,3200
6300,1329.11,3200
4365.79,1819.9,3200
3600,2000,3200
3600,-2000,3200
3600,-2000,3300
4388.78,-1829.67,3300
6300,-1309.87,3300
6300,1309.87,3300
4388.78,1829.67,3300
3600,2000,3300
3600,-2000,3300
